,name
26,ASICminer 8 Nano Pro
40,MicroBT Whatsminer M10S
44,Ebang Ebit E11++
45,ASICminer 8 Nano 44Th
46,Ebang Ebit E11+
54,Innosilicon T3 43T
55,Innosilicon T3 39T
56,Bitmain Antminer S17 Pro (53Th)
57,Bitmain Antminer S17 Pro (50Th)
58,Bitmain Antminer S17 (56Th)
59,Bitmain Antminer S17 (53Th)
60,Innosilicon T3+ 52T
61,Bitmain Antminer T17 (40Th)
62,MicroBT Whatsminer M21S
63,StrongU STU-U8
64,Innosilicon T3
66,MicroBT Whatsminer M21
67,MicroBT Whatsminer M20S
69,StrongU STU-U8 Pro
70,Ebang Ebit E12+
71,Innosilicon T3+
72,Ebang Ebit E12
74,Canaan AvalonMiner 1047
75,Bitmain Antminer S17e
76,Bitmain Antminer T17e 
77,Bitmain Antminer S17+
78,Bitmain Antminer T17+
